"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 17 07:28:37 GMT 2023","Mon Apr 17 07:28:39 GMT 2023","1939","","main.spec.ts","","","","Products id",""
"passed","Mon Apr 17 07:28:32 GMT 2023","Mon Apr 17 07:28:37 GMT 2023","4991","","main.spec.ts","","","","Theme Update",""
"passed","Mon Apr 17 07:29:12 GMT 2023","Mon Apr 17 07:29:24 GMT 2023","12054","","main.spec.ts","","","","Prodcut Delete",""
"passed","Mon Apr 17 07:28:26 GMT 2023","Mon Apr 17 07:28:27 GMT 2023","946","","main.spec.ts","","","","Get all the Themes List",""
"passed","Mon Apr 17 07:28:59 GMT 2023","Mon Apr 17 07:29:12 GMT 2023","13200","","main.spec.ts","","","","Mailchimp Integration",""
"passed","Mon Apr 17 07:28:29 GMT 2023","Mon Apr 17 07:28:32 GMT 2023","2435","","main.spec.ts","","","","Premium Theme Create",""
"passed","Mon Apr 17 07:28:15 GMT 2023","Mon Apr 17 07:28:16 GMT 2023","1124","","main.spec.ts","","","","Getting Dashboard Overview Details",""
"passed","Mon Apr 17 07:28:47 GMT 2023","Mon Apr 17 07:28:50 GMT 2023","3459","","main.spec.ts","","","","License Mapping",""
"passed","Mon Apr 17 07:28:27 GMT 2023","Mon Apr 17 07:28:29 GMT 2023","2386","","main.spec.ts","","","","Free Theme Create",""
"passed","Mon Apr 17 07:28:17 GMT 2023","Mon Apr 17 07:28:19 GMT 2023","2445","","main.spec.ts","","","","Free Plugin Create",""
"passed","Mon Apr 17 07:28:44 GMT 2023","Mon Apr 17 07:28:46 GMT 2023","2472","","main.spec.ts","","","","Bundle Create & Update",""
"passed","Mon Apr 17 07:28:22 GMT 2023","Mon Apr 17 07:28:26 GMT 2023","4306","","main.spec.ts","","","","Plugin Update",""
"passed","Mon Apr 17 07:28:19 GMT 2023","Mon Apr 17 07:28:22 GMT 2023","2433","","main.spec.ts","","","","Premium Plugin Create",""
"passed","Mon Apr 17 07:28:13 GMT 2023","Mon Apr 17 07:28:15 GMT 2023","1141","","main.spec.ts","","","","Login",""
"passed","Mon Apr 17 07:28:16 GMT 2023","Mon Apr 17 07:28:17 GMT 2023","1014","","main.spec.ts","","","","Get all the Plugins List",""
"passed","Mon Apr 17 07:28:46 GMT 2023","Mon Apr 17 07:28:47 GMT 2023","871","","main.spec.ts","","","","Product List",""
"passed","Mon Apr 17 07:28:50 GMT 2023","Mon Apr 17 07:28:59 GMT 2023","8304","","main.spec.ts","","","","Single variation & One Time Payment",""
"passed","Mon Apr 17 07:28:39 GMT 2023","Mon Apr 17 07:28:44 GMT 2023","4906","","main.spec.ts","","","","Release Create",""
