"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 27 08:37:05 GMT 2023","Thu Apr 27 08:37:06 GMT 2023","926","","main.spec.ts","","","","Getting Dashboard Overview Details",""
"passed","Thu Apr 27 08:37:12 GMT 2023","Thu Apr 27 08:37:17 GMT 2023","5251","","main.spec.ts","","","","Plugin Update",""
"passed","Thu Apr 27 08:37:37 GMT 2023","Thu Apr 27 08:37:40 GMT 2023","3217","","main.spec.ts","","","","License Mapping",""
"passed","Thu Apr 27 08:37:04 GMT 2023","Thu Apr 27 08:37:05 GMT 2023","1087","","main.spec.ts","","","","Login",""
"passed","Thu Apr 27 08:37:06 GMT 2023","Thu Apr 27 08:37:09 GMT 2023","2600","","main.spec.ts","","","","Free Plugin Create",""
"passed","Thu Apr 27 08:37:06 GMT 2023","Thu Apr 27 08:37:06 GMT 2023","878","","main.spec.ts","","","","Get all the Plugins List",""
"passed","Thu Apr 27 08:37:23 GMT 2023","Thu Apr 27 08:37:28 GMT 2023","5058","","main.spec.ts","","","","Theme Update",""
"passed","Thu Apr 27 08:37:40 GMT 2023","Thu Apr 27 08:37:44 GMT 2023","3370","","main.spec.ts","","","","Single variation & One Time Payment",""
"passed","Thu Apr 27 08:37:28 GMT 2023","Thu Apr 27 08:37:30 GMT 2023","1914","","main.spec.ts","","","","Products id",""
"passed","Thu Apr 27 08:37:20 GMT 2023","Thu Apr 27 08:37:23 GMT 2023","2385","","main.spec.ts","","","","Premium Theme Create",""
"passed","Thu Apr 27 08:37:35 GMT 2023","Thu Apr 27 08:37:36 GMT 2023","1543","","main.spec.ts","","","","Bundle Create & Update",""
"passed","Thu Apr 27 08:37:30 GMT 2023","Thu Apr 27 08:37:35 GMT 2023","4993","","main.spec.ts","","","","Release Create",""
"passed","Thu Apr 27 08:37:17 GMT 2023","Thu Apr 27 08:37:18 GMT 2023","933","","main.spec.ts","","","","Get all the Themes List",""
"passed","Thu Apr 27 08:37:57 GMT 2023","Thu Apr 27 08:38:09 GMT 2023","11748","","main.spec.ts","","","","Prodcut Delete",""
"passed","Thu Apr 27 08:37:18 GMT 2023","Thu Apr 27 08:37:20 GMT 2023","2438","","main.spec.ts","","","","Free Theme Create",""
"passed","Thu Apr 27 08:37:36 GMT 2023","Thu Apr 27 08:37:37 GMT 2023","881","","main.spec.ts","","","","Product List",""
"passed","Thu Apr 27 08:37:09 GMT 2023","Thu Apr 27 08:37:12 GMT 2023","2491","","main.spec.ts","","","","Premium Plugin Create",""
"passed","Thu Apr 27 08:37:44 GMT 2023","Thu Apr 27 08:37:57 GMT 2023","13891","","main.spec.ts","","","","Mailchimp Integration",""
