"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 10 21:13:17 GMT 2023","Sat Jun 10 21:13:23 GMT 2023","5262","","main.spec.ts","","","","Theme Update",""
"passed","Sat Jun 10 21:13:10 GMT 2023","Sat Jun 10 21:13:11 GMT 2023","1063","","main.spec.ts","","","","Checking Dashboard Overview Details",""
"passed","Sat Jun 10 21:13:32 GMT 2023","Sat Jun 10 21:13:35 GMT 2023","3429","","main.spec.ts","","","","Bundle Create",""
"passed","Sat Jun 10 21:13:53 GMT 2023","Sat Jun 10 21:13:57 GMT 2023","4625","","main.spec.ts","","","","Order Create",""
"passed","Sat Jun 10 21:13:57 GMT 2023","Sat Jun 10 21:14:01 GMT 2023","3928","","main.spec.ts","","","","Order Details",""
"passed","Sat Jun 10 21:13:40 GMT 2023","Sat Jun 10 21:13:46 GMT 2023","5491","","main.spec.ts","","","","License Mapping",""
"passed","Sat Jun 10 21:14:09 GMT 2023","Sat Jun 10 21:14:31 GMT 2023","21842","","main.spec.ts","","","","Mailchimp Integration",""
"passed","Sat Jun 10 21:13:11 GMT 2023","Sat Jun 10 21:13:12 GMT 2023","1031","","main.spec.ts","","","","Get all the Themes List",""
"passed","Sat Jun 10 21:13:36 GMT 2023","Sat Jun 10 21:13:40 GMT 2023","4086","","main.spec.ts","","","","Products Hash",""
"passed","Sat Jun 10 21:12:57 GMT 2023","Sat Jun 10 21:12:58 GMT 2023","1165","","main.spec.ts","","","","Getting Dashboard Overview Details",""
"passed","Sat Jun 10 21:14:34 GMT 2023","Sat Jun 10 21:14:56 GMT 2023","22078","","main.spec.ts","","","","Prodcut Delete",""
"passed","Sat Jun 10 21:14:05 GMT 2023","Sat Jun 10 21:14:09 GMT 2023","4061","","main.spec.ts","","","","License Activation",""
"passed","Sat Jun 10 21:13:35 GMT 2023","Sat Jun 10 21:13:36 GMT 2023","909","","main.spec.ts","","","","Products List",""
"passed","Sat Jun 10 21:13:46 GMT 2023","Sat Jun 10 21:13:52 GMT 2023","5986","","main.spec.ts","","","","Single variation & One Time Payment",""
"passed","Sat Jun 10 21:13:00 GMT 2023","Sat Jun 10 21:13:02 GMT 2023","2533","","main.spec.ts","","","","Free Plugin Create",""
"passed","Sat Jun 10 21:13:52 GMT 2023","Sat Jun 10 21:13:53 GMT 2023","920","","main.spec.ts","","","","Selling Website & Product Mapping",""
"passed","Sat Jun 10 21:14:31 GMT 2023","Sat Jun 10 21:14:34 GMT 2023","2319","","main.spec.ts","","","","weMail Integration",""
"passed","Sat Jun 10 21:13:12 GMT 2023","Sat Jun 10 21:13:15 GMT 2023","2461","","main.spec.ts","","","","Free Theme Create",""
"passed","Sat Jun 10 21:12:56 GMT 2023","Sat Jun 10 21:12:57 GMT 2023","1145","","main.spec.ts","","","","Login",""
"passed","Sat Jun 10 21:14:01 GMT 2023","Sat Jun 10 21:14:05 GMT 2023","4312","","main.spec.ts","","","","License Key",""
"passed","Sat Jun 10 21:12:58 GMT 2023","Sat Jun 10 21:13:00 GMT 2023","1331","","main.spec.ts","","","","Get all the Plugins List",""
"passed","Sat Jun 10 21:13:02 GMT 2023","Sat Jun 10 21:13:05 GMT 2023","2654","","main.spec.ts","","","","Premium Plugin Create",""
"passed","Sat Jun 10 21:13:05 GMT 2023","Sat Jun 10 21:13:10 GMT 2023","5201","","main.spec.ts","","","","Plugin Update",""
"passed","Sat Jun 10 21:13:15 GMT 2023","Sat Jun 10 21:13:17 GMT 2023","2544","","main.spec.ts","","","","Premium Theme Create",""
"passed","Sat Jun 10 21:13:23 GMT 2023","Sat Jun 10 21:13:32 GMT 2023","9147","","main.spec.ts","","","","Release Create",""
