"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 08:32:14 GMT 2023","Tue Apr 18 08:32:16 GMT 2023","2519","","main.spec.ts","","","","Bundle Create & Update",""
"passed","Tue Apr 18 08:31:49 GMT 2023","Tue Apr 18 08:31:54 GMT 2023","5198","","main.spec.ts","","","","Plugin Update",""
"passed","Tue Apr 18 08:31:55 GMT 2023","Tue Apr 18 08:31:58 GMT 2023","2948","","main.spec.ts","","","","Free Theme Create",""
"passed","Tue Apr 18 08:32:38 GMT 2023","Tue Apr 18 08:32:50 GMT 2023","12106","","main.spec.ts","","","","Prodcut Delete",""
"passed","Tue Apr 18 08:32:17 GMT 2023","Tue Apr 18 08:32:21 GMT 2023","3403","","main.spec.ts","","","","License Mapping",""
"passed","Tue Apr 18 08:31:44 GMT 2023","Tue Apr 18 08:31:47 GMT 2023","2555","","main.spec.ts","","","","Free Plugin Create",""
"passed","Tue Apr 18 08:31:42 GMT 2023","Tue Apr 18 08:31:43 GMT 2023","1019","","main.spec.ts","","","","Getting Dashboard Overview Details",""
"passed","Tue Apr 18 08:32:16 GMT 2023","Tue Apr 18 08:32:17 GMT 2023","880","","main.spec.ts","","","","Product List",""
"passed","Tue Apr 18 08:31:58 GMT 2023","Tue Apr 18 08:32:01 GMT 2023","2571","","main.spec.ts","","","","Premium Theme Create",""
"passed","Tue Apr 18 08:32:24 GMT 2023","Tue Apr 18 08:32:38 GMT 2023","13866","","main.spec.ts","","","","Mailchimp Integration",""
"passed","Tue Apr 18 08:31:41 GMT 2023","Tue Apr 18 08:31:42 GMT 2023","1132","","main.spec.ts","","","","Login",""
"passed","Tue Apr 18 08:32:21 GMT 2023","Tue Apr 18 08:32:24 GMT 2023","3644","","main.spec.ts","","","","Single variation & One Time Payment",""
"passed","Tue Apr 18 08:31:43 GMT 2023","Tue Apr 18 08:31:44 GMT 2023","960","","main.spec.ts","","","","Get all the Plugins List",""
"passed","Tue Apr 18 08:31:47 GMT 2023","Tue Apr 18 08:31:49 GMT 2023","2481","","main.spec.ts","","","","Premium Plugin Create",""
"passed","Tue Apr 18 08:31:54 GMT 2023","Tue Apr 18 08:31:55 GMT 2023","963","","main.spec.ts","","","","Get all the Themes List",""
"passed","Tue Apr 18 08:32:01 GMT 2023","Tue Apr 18 08:32:06 GMT 2023","5453","","main.spec.ts","","","","Theme Update",""
"passed","Tue Apr 18 08:32:09 GMT 2023","Tue Apr 18 08:32:14 GMT 2023","5201","","main.spec.ts","","","","Release Create",""
"passed","Tue Apr 18 08:32:06 GMT 2023","Tue Apr 18 08:32:09 GMT 2023","2168","","main.spec.ts","","","","Products id",""
