"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 17 07:25:11 GMT 2023","Mon Apr 17 07:25:14 GMT 2023","2537","","main.spec.ts","","","","Premium Theme Create",""
"passed","Mon Apr 17 07:25:14 GMT 2023","Mon Apr 17 07:25:19 GMT 2023","5281","","main.spec.ts","","","","Theme Update",""
"passed","Mon Apr 17 07:24:54 GMT 2023","Mon Apr 17 07:24:55 GMT 2023","1228","","main.spec.ts","","","","Login",""
"passed","Mon Apr 17 07:25:30 GMT 2023","Mon Apr 17 07:25:34 GMT 2023","3707","","main.spec.ts","","","","License Mapping",""
"passed","Mon Apr 17 07:25:02 GMT 2023","Mon Apr 17 07:25:07 GMT 2023","5486","","main.spec.ts","","","","Plugin Update",""
"passed","Mon Apr 17 07:24:59 GMT 2023","Mon Apr 17 07:25:02 GMT 2023","2613","","main.spec.ts","","","","Premium Plugin Create",""
"passed","Mon Apr 17 07:25:07 GMT 2023","Mon Apr 17 07:25:08 GMT 2023","997","","main.spec.ts","","","","Get all the Themes List",""
"passed","Mon Apr 17 07:25:52 GMT 2023","Mon Apr 17 07:26:04 GMT 2023","11714","","main.spec.ts","","","","Prodcut Delete",""
"passed","Mon Apr 17 07:25:21 GMT 2023","Mon Apr 17 07:25:27 GMT 2023","5405","","main.spec.ts","","","","Release Create",""
"passed","Mon Apr 17 07:24:56 GMT 2023","Mon Apr 17 07:24:57 GMT 2023","1033","","main.spec.ts","","","","Get all the Plugins List",""
"passed","Mon Apr 17 07:25:27 GMT 2023","Mon Apr 17 07:25:29 GMT 2023","2556","","main.spec.ts","","","","Bundle Create & Update",""
"passed","Mon Apr 17 07:24:57 GMT 2023","Mon Apr 17 07:24:59 GMT 2023","2560","","main.spec.ts","","","","Free Plugin Create",""
"passed","Mon Apr 17 07:24:55 GMT 2023","Mon Apr 17 07:24:56 GMT 2023","1023","","main.spec.ts","","","","Getting Dashboard Overview Details",""
"passed","Mon Apr 17 07:25:37 GMT 2023","Mon Apr 17 07:25:52 GMT 2023","14463","","main.spec.ts","","","","Mailchimp Integration",""
"passed","Mon Apr 17 07:25:29 GMT 2023","Mon Apr 17 07:25:30 GMT 2023","1048","","main.spec.ts","","","","Product List",""
"passed","Mon Apr 17 07:25:08 GMT 2023","Mon Apr 17 07:25:11 GMT 2023","2653","","main.spec.ts","","","","Free Theme Create",""
"passed","Mon Apr 17 07:25:19 GMT 2023","Mon Apr 17 07:25:21 GMT 2023","2174","","main.spec.ts","","","","Products id",""
"passed","Mon Apr 17 07:25:34 GMT 2023","Mon Apr 17 07:25:37 GMT 2023","3563","","main.spec.ts","","","","Single variation & One Time Payment",""
