"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 22:14:45 GMT 2023","Sat Apr 15 22:15:07 GMT 2023","21968","","main.spec.ts","","","","Release CRUD",""
"passed","Sat Apr 15 22:15:16 GMT 2023","Sat Apr 15 22:16:06 GMT 2023","49984","","main.spec.ts","","","","Mailchimp Integration",""
"passed","Sat Apr 15 22:14:31 GMT 2023","Sat Apr 15 22:14:32 GMT 2023","1390","","main.spec.ts","","","","Get all the Plugins List",""
"passed","Sat Apr 15 22:15:07 GMT 2023","Sat Apr 15 22:15:09 GMT 2023","2407","","main.spec.ts","","","","Bundle Create & Update",""
"passed","Sat Apr 15 22:15:10 GMT 2023","Sat Apr 15 22:15:13 GMT 2023","3146","","main.spec.ts","","","","License Mapping",""
"passed","Sat Apr 15 22:14:29 GMT 2023","Sat Apr 15 22:14:30 GMT 2023","1052","","main.spec.ts","","","","Login",""
"passed","Sat Apr 15 22:16:06 GMT 2023","Sat Apr 15 22:16:54 GMT 2023","47541","","main.spec.ts","","","","Prodcut Delete",""
"passed","Sat Apr 15 22:14:37 GMT 2023","Sat Apr 15 22:14:43 GMT 2023","5965","","main.spec.ts","","","","Theme List, Create & Update",""
"passed","Sat Apr 15 22:15:09 GMT 2023","Sat Apr 15 22:15:10 GMT 2023","832","","main.spec.ts","","","","Product List",""
"passed","Sat Apr 15 22:14:32 GMT 2023","Sat Apr 15 22:14:35 GMT 2023","2409","","main.spec.ts","","","","Free Plugin Create",""
"passed","Sat Apr 15 22:14:43 GMT 2023","Sat Apr 15 22:14:45 GMT 2023","1935","","main.spec.ts","","","","Products id",""
"passed","Sat Apr 15 22:14:35 GMT 2023","Sat Apr 15 22:14:37 GMT 2023","2427","","main.spec.ts","","","","Premium Plugin Create",""
"skipped","Sat Apr 15 22:14:37 GMT 2023","Sat Apr 15 22:14:37 GMT 2023","1","","main.spec.ts","","","","Plugin List, Create & Update",""
"passed","Sat Apr 15 22:14:30 GMT 2023","Sat Apr 15 22:14:31 GMT 2023","869","","main.spec.ts","","","","Getting Dashboard Overview Details",""
"passed","Sat Apr 15 22:15:13 GMT 2023","Sat Apr 15 22:15:16 GMT 2023","3145","","main.spec.ts","","","","Single variation & One Time Payment",""
