"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 15 05:29:41 GMT 2023","Thu Jun 15 05:29:42 GMT 2023","1076","","main.spec.ts","","","","Products List",""
"passed","Thu Jun 15 05:29:44 GMT 2023","Thu Jun 15 05:29:48 GMT 2023","3763","","main.spec.ts","","","","License Mapping",""
"passed","Thu Jun 15 05:29:26 GMT 2023","Thu Jun 15 05:29:32 GMT 2023","5457","","main.spec.ts","","","","Theme Update",""
"passed","Thu Jun 15 05:29:48 GMT 2023","Thu Jun 15 05:29:52 GMT 2023","3933","","main.spec.ts","","","","Single variation & One Time Payment",""
"passed","Thu Jun 15 05:29:52 GMT 2023","Thu Jun 15 05:29:53 GMT 2023","1052","","main.spec.ts","","","","Selling Website & Product Mapping",""
"passed","Thu Jun 15 05:29:10 GMT 2023","Thu Jun 15 05:29:11 GMT 2023","1648","","main.spec.ts","","","","Free Plugin Create",""
"passed","Thu Jun 15 05:30:18 GMT 2023","Thu Jun 15 05:30:21 GMT 2023","2690","","main.spec.ts","","","","weMail Integration",""
"passed","Thu Jun 15 05:29:37 GMT 2023","Thu Jun 15 05:29:41 GMT 2023","3700","","main.spec.ts","","","","Bundle Create",""
"passed","Thu Jun 15 05:30:04 GMT 2023","Thu Jun 15 05:30:18 GMT 2023","14358","","main.spec.ts","","","","Mailchimp Integration",""
"passed","Thu Jun 15 05:29:20 GMT 2023","Thu Jun 15 05:29:21 GMT 2023","1082","","main.spec.ts","","","","Get all the Themes List",""
"passed","Thu Jun 15 05:29:21 GMT 2023","Thu Jun 15 05:29:23 GMT 2023","2640","","main.spec.ts","","","","Free Theme Create",""
"passed","Thu Jun 15 05:30:21 GMT 2023","Thu Jun 15 05:30:31 GMT 2023","9998","","main.spec.ts","","","","Prodcut Delete",""
"passed","Thu Jun 15 05:29:23 GMT 2023","Thu Jun 15 05:29:26 GMT 2023","2694","","main.spec.ts","","","","Premium Theme Create",""
"passed","Thu Jun 15 05:29:08 GMT 2023","Thu Jun 15 05:29:10 GMT 2023","1131","","main.spec.ts","","","","Get all the Plugins List",""
"passed","Thu Jun 15 05:29:56 GMT 2023","Thu Jun 15 05:29:58 GMT 2023","2292","","main.spec.ts","","","","Order Details",""
"passed","Thu Jun 15 05:29:18 GMT 2023","Thu Jun 15 05:29:20 GMT 2023","1213","","main.spec.ts","","","","Checking Dashboard Overview Details",""
"passed","Thu Jun 15 05:29:58 GMT 2023","Thu Jun 15 05:30:00 GMT 2023","2306","","main.spec.ts","","","","License Key",""
"passed","Thu Jun 15 05:29:14 GMT 2023","Thu Jun 15 05:29:18 GMT 2023","4469","","main.spec.ts","","","","Plugin Update",""
"passed","Thu Jun 15 05:29:06 GMT 2023","Thu Jun 15 05:29:07 GMT 2023","1349","","main.spec.ts","","","","Login",""
"passed","Thu Jun 15 05:29:07 GMT 2023","Thu Jun 15 05:29:08 GMT 2023","1279","","main.spec.ts","","","","Getting Dashboard Overview Details",""
"passed","Thu Jun 15 05:29:42 GMT 2023","Thu Jun 15 05:29:44 GMT 2023","2330","","main.spec.ts","","","","Products Hash",""
"passed","Thu Jun 15 05:29:53 GMT 2023","Thu Jun 15 05:29:56 GMT 2023","2771","","main.spec.ts","","","","Order Create",""
"passed","Thu Jun 15 05:29:32 GMT 2023","Thu Jun 15 05:29:37 GMT 2023","5676","","main.spec.ts","","","","Release Create",""
"passed","Thu Jun 15 05:29:11 GMT 2023","Thu Jun 15 05:29:14 GMT 2023","2727","","main.spec.ts","","","","Premium Plugin Create",""
"passed","Thu Jun 15 05:30:00 GMT 2023","Thu Jun 15 05:30:04 GMT 2023","3140","","main.spec.ts","","","","License Activation",""
