"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 16 05:44:34 GMT 2023","Fri Jun 16 05:44:37 GMT 2023","2580","","main.spec.ts","","","","Premium Theme Create",""
"passed","Fri Jun 16 05:44:30 GMT 2023","Fri Jun 16 05:44:32 GMT 2023","1092","","main.spec.ts","","","","Get all the Themes List",""
"passed","Fri Jun 16 05:44:53 GMT 2023","Fri Jun 16 05:44:55 GMT 2023","2364","","main.spec.ts","","","","Products Hash",""
"passed","Fri Jun 16 05:44:29 GMT 2023","Fri Jun 16 05:44:30 GMT 2023","1190","","main.spec.ts","","","","Checking Dashboard Overview Details",""
"passed","Fri Jun 16 05:45:32 GMT 2023","Fri Jun 16 05:45:45 GMT 2023","13206","","main.spec.ts","","","","Prodcut Delete",""
"passed","Fri Jun 16 05:45:08 GMT 2023","Fri Jun 16 05:45:10 GMT 2023","2484","","main.spec.ts","","","","Order Details",""
"passed","Fri Jun 16 05:45:13 GMT 2023","Fri Jun 16 05:45:15 GMT 2023","2467","","main.spec.ts","","","","License Activation",""
"passed","Fri Jun 16 05:44:59 GMT 2023","Fri Jun 16 05:45:04 GMT 2023","4773","","main.spec.ts","","","","Single variation & One Time Payment",""
"passed","Fri Jun 16 05:44:24 GMT 2023","Fri Jun 16 05:44:29 GMT 2023","5451","","main.spec.ts","","","","Plugin Update",""
"passed","Fri Jun 16 05:45:29 GMT 2023","Fri Jun 16 05:45:32 GMT 2023","2670","","main.spec.ts","","","","weMail Integration",""
"passed","Fri Jun 16 05:44:52 GMT 2023","Fri Jun 16 05:44:53 GMT 2023","1080","","main.spec.ts","","","","Products List",""
"passed","Fri Jun 16 05:45:10 GMT 2023","Fri Jun 16 05:45:13 GMT 2023","2328","","main.spec.ts","","","","License Key",""
"passed","Fri Jun 16 05:44:42 GMT 2023","Fri Jun 16 05:44:48 GMT 2023","5888","","main.spec.ts","","","","Release Create",""
"passed","Fri Jun 16 05:45:05 GMT 2023","Fri Jun 16 05:45:08 GMT 2023","3123","","main.spec.ts","","","","Order Create",""
"passed","Fri Jun 16 05:44:15 GMT 2023","Fri Jun 16 05:44:16 GMT 2023","1288","","main.spec.ts","","","","Login",""
"passed","Fri Jun 16 05:44:37 GMT 2023","Fri Jun 16 05:44:42 GMT 2023","5318","","main.spec.ts","","","","Theme Update",""
"passed","Fri Jun 16 05:45:04 GMT 2023","Fri Jun 16 05:45:05 GMT 2023","1178","","main.spec.ts","","","","Selling Website & Product Mapping",""
"passed","Fri Jun 16 05:44:32 GMT 2023","Fri Jun 16 05:44:34 GMT 2023","2560","","main.spec.ts","","","","Free Theme Create",""
"passed","Fri Jun 16 05:44:55 GMT 2023","Fri Jun 16 05:44:59 GMT 2023","3799","","main.spec.ts","","","","License Mapping",""
"passed","Fri Jun 16 05:44:16 GMT 2023","Fri Jun 16 05:44:17 GMT 2023","1226","","main.spec.ts","","","","Getting Dashboard Overview Details",""
"passed","Fri Jun 16 05:44:48 GMT 2023","Fri Jun 16 05:44:52 GMT 2023","3710","","main.spec.ts","","","","Bundle Create",""
"passed","Fri Jun 16 05:45:15 GMT 2023","Fri Jun 16 05:45:29 GMT 2023","14214","","main.spec.ts","","","","Mailchimp Integration",""
"passed","Fri Jun 16 05:44:19 GMT 2023","Fri Jun 16 05:44:21 GMT 2023","2680","","main.spec.ts","","","","Free Plugin Create",""
"passed","Fri Jun 16 05:44:21 GMT 2023","Fri Jun 16 05:44:24 GMT 2023","2572","","main.spec.ts","","","","Premium Plugin Create",""
"passed","Fri Jun 16 05:44:17 GMT 2023","Fri Jun 16 05:44:19 GMT 2023","1126","","main.spec.ts","","","","Get all the Plugins List",""
